id,gsi,academic,personal
2463,0.886792453,1.8,2.125
2464,1.660377358,3.1,2.125
2465,0.962264151,1.3,2
2466,0.320754717,1.8,1.375
2468,0.096153846,0.2,0.25
2472,0.962264151,1.4,2.125
2473,0.169811321,0.5,1
2492,0.471698113,1.2,1.75
2496,0.622641509,0.7,1
2515,1.301886792,1.7,2.125
2531,1.716981132,2.8,2.625
2546,1.358490566,2.9,2.5
2547,1.673076923,2.1,0.75
2548,1.132075472,1.6,1.125
2573,1.735849057,2.3,2.375
2604,0.784313725,1.3,2.125
2622,1.188679245,1.8,1
2625,0.784313725,1.1,1.875
2627,0.754716981,1.7,1.375
2628,1.20754717,1.1,1.75
2629,1.056603774,2,0.875
2632,0.566037736,1.1,1.375
2634,2.169811321,2.6,3.25
2635,0.641509434,2.4,1.125
2636,1.037735849,0.9,2.75
2637,1.134615385,0.7,1.125
2639,2.075471698,3.4,2.625
2642,1.132075472,2.5,1.375
2643,1.461538462,3.8,2.125
2644,1.849056604,4,3
2647,0.471698113,0.9,0.625
2660,0.603773585,2.7,0.375
2665,0.150943396,1.3,0.625
2669,0.5,1.9,0.125
2671,0.603773585,1.9,1.5
2676,0.037735849,0.6,0.25
2680,2.283018868,3.1,1.625
2725,1.264150943,2.5,2.25
2727,1.132075472,1.9,1.625
2732,0.346153846,1.2,1.625
2738,1.490566038,1.8,1.875
2740,1.754716981,3.2,3
2742,1.339622642,2.3,1.125
2743,0.283018868,1.2,0.875
2758,1.075471698,2.5,1
2759,2.269230769,2.7,2
2760,0.301886792,0.3,0.75
2762,1.698113208,1.9,1.75
2764,0.075471698,0.3,0.25
2766,1.679245283,1.4,3.25
2769,0.403846154,1,1.125
2839,1.884615385,2.4,2.5
2842,1.320754717,2.1,1.75
2843,1.192307692,1.4,1.625
2855,0.962264151,2.8,1
2894,1.446808511,1.4,2.625
2910,2.264150943,2,1.5
2925,1.679245283,3.7,2.5
2926,0.283018868,0.7,0.875
2944,0.188679245,0.3,1.5
2945,1.547169811,2.7,2.375
2946,0.754716981,1.1,0.625
2952,1.037735849,1.6,1.875
2954,0.773584906,1.7,1.625
2958,0.075471698,0.3,0.125
2969,0.320754717,0.3,0.375
2970,1.358490566,3.8,2.125
2978,1.018867925,2,1.625
2982,0.75,1.2,0.375
2984,0.471698113,2.1,1
2987,0.433962264,1,1
2990,0.169811321,0.7,0.25
2991,0.641509434,0.9,0.75
2992,1.903846154,3.1,2.25
2993,0.980769231,0.6,2.5
2997,0.471698113,0.5,0.625
2999,0.169811321,1.1,0.25
3087,1.169811321,1,1.875
3088,0.075471698,0.4,0.125
3093,0.326923077,0.7,0.75
3094,0.566037736,1.5,1.25
3107,2.471698113,2.9,3.375
3112,0.433962264,2.2,1.75
3136,0.528301887,0.9,0.5
3139,0.867924528,1.8,1.875
3157,1.41509434,2.2,2.875
3158,0.153846154,0.5,1.125
3164,0.528301887,0.8,1
3181,0.490566038,0.7,1
3183,0.698113208,1.8,0.375
3184,1.188679245,2.4,2.125
3187,1.283018868,2.7,1.75
3191,1.134615385,2.2,1.5
3192,0.679245283,1,1.25
3193,0.377358491,0.8,0.875
3199,1.264150943,2.2,2.625
3200,1.603773585,1.7,1.875
3214,0.301886792,0.7,1
3232,1.471698113,3.5,2.375
3244,1.094339623,1.8,1.25
3254,0.226415094,1.5,0.625
3271,0.603773585,2.1,0.625
3273,0.981132075,1.5,1.5
3276,1.377358491,2,1.125
3542,2.377358491,2.7,2.375
3543,0.169811321,0.5,0.5
3545,2.823529412,3.4,2.25
3546,0.132075472,0.9,0.375
3561,1.245283019,1.2,3
3567,0.924528302,1.9,1.25
3568,0.075471698,0.4,0.125
3569,1,2.2,1.375
3570,0.377358491,1,0.5
3571,0.25,0.9,0.625
3576,1.169811321,1.6,2.5
3583,0.75,1.2,1.125
3584,0.470588235,0.6,1.625
3585,0.320754717,0.6,0.875
3586,1.320754717,0.3,2.75
3587,0.41509434,1.8,0.875
3588,0.20754717,1.2,0.25
3589,1.603773585,2.7,2.25
3591,0.307692308,1.2,0.875
3594,0.58490566,0.8,0.5
3596,1.301886792,1.5,0.625
3597,1.076923077,0.8,2
3598,0.788461538,1.8,1.125
3599,0.339622642,0.7,0.625
3600,1.396226415,0.8,2
3601,0.509433962,0.2,0.625
3603,0.943396226,0.4,2.125
3604,2.075471698,3.2,1.75
3605,0.396226415,0.1,1.125
3607,0.921568627,2.7,1.125
3608,2.692307692,2.5,2.375
3609,1,1,1.875
3610,0.79245283,1.8,1.25
3611,0.58490566,0.9,1
3612,1.603773585,1.4,2
3614,1.490566038,1.5,2.375
3615,0.528301887,2.2,1
3616,0.612244898,2,1.375
3617,1.58490566,2.3,2.25
3618,0.924528302,2.2,1.25
3619,0.641509434,0.9,0.625
3620,1,0.2,1.875
3621,1.886792453,0.7,1.375
3622,0.509433962,1.4,0.375
3623,1.150943396,1.3,1.625
3801,1.150943396,2.2,1.625
3802,0.754716981,1.3,1.625
3803,0.641509434,2.5,0.875
3805,0.307692308,1.8,1
3806,0.716981132,0.7,0.875
3807,1.735849057,0.9,2.25
3808,0.358490566,1,0.375
3809,0.169811321,1.4,1.125
3811,1,2.5,2.125
3812,0.41509434,3.5,0.875
3815,0.358490566,0.9,0.5
3816,0.943396226,1.6,1.125
3817,0.132075472,1.8,0.625
3818,1.596153846,1.4,0.625
3819,0.150943396,0.5,0.5
3820,0.358490566,1.9,1.75
3822,1.075471698,2.1,1.75
3825,1.320754717,1,1.25
3826,1.245283019,1.4,1.875
3827,0.943396226,0.9,1.375
3828,0.735849057,0.7,0.875
3829,0.358490566,1.1,0.375
3830,1.903846154,2.9,3.25
3831,0.339622642,1.1,1.125
3832,0.735849057,1.9,0.875
3836,0.20754717,1.1,0.875
3837,0.264150943,1,0.625
3838,0.396226415,1.8,1.375
3839,0.169811321,0.7,0.75
